PlantSpecies,FungalGenus,PlantFamily,PLANTLIFEHISTORY,FUNGROUP,LOCATION,DOMESTICATED,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
NA,NA,myrtaceae,perennial,nonNwood,lab,NA,NA,NA,NA,NA,NA,NA
